#lugar,ALT,LAT,LONG,STATUS,Ru,Rc,Rl,
Marambio , 200.0 , -64.24 ,-56.62,soon,2.07,2.31,2.54,
Bariloche , 850.0 , -41.15 ,-71.3,on,7.67,8.1,8.66,
Buenos Aires , 10.0 , -34.54 ,-58.44,on,7.8,8.41,9.13,
Chacaltaya , 5240.0 , -16.35 ,-68.13,on,11.83,11.87,11.88,
Cusco, 3400.0 , -13.52 ,-71.96,on,12.19,12.19,12.19,
Lima, 150.0 , -12.1 ,-77.02,on,12.37,12.37,12.37,
Huancayo, 3370.0 , -12.04 ,-75.3,soon,12.34,12.34,12.34,
Bucaramanga, 956.0 , 7.14 ,-73.12,on,12.52,12.52,12.52,
Riobamba, 2.754 , -1.81 ,-78.74,soon,12.55,12.55,12.55,
Merida-ULA, 1893.0 , 8.63 ,-71.15,soon,11.9,11.99,12.02,
Caracas-UCV, 900.0 , 10.49 ,-66.89,soon,11.93,12.01,12.03,
Guatemala-USC, 1490.0 , 14.63 ,-90.59,soon,0,0,0,
Sierra Negra, 4550.0 , 18.16 ,-97.95,on,8.22,8.26,9.04,
Campina,685,-22.9,-47.06,on,9.28,9.93,10.28,
Campinagrande,550,-7.23,-35.88,soon,12.07,12.17,12.2,
Rio de janeiro,11,-22.9,-43.2,uc,0,0,0,
Huaytapallana,5020,-11.58,-74.82,uc,0,0,0,
Pasto,2530,1.21,-77.27,soon,0,0,0,
Tucuman,431,-26.81,-65.21,uc,0,0,0,
Bogota,2600,4.6,-74.08,uc,0,0,0,
La Paz,3630,-16.49,-68.15,soon,11.81,11.85,11.87,
Quito-SF,2800,-0.2,-78.5,on,12.49,12.49,12.49,
Quito-PO,2800,-0.2,-78.5,on,12.49,12.49,12.49,
Tacana,4060,15.13,-92.11,uc,0,0,0,
Guatemala-UVG,1500,14.62,-90.53,uc,10.24,10.32,10.55,
Tegucigalpa,990,14.09,-87.2,uc,0,0,0,
Berlin,3450,7.18,-72.88,uc,0,0,0,
Chimborazo,5000,-1.47,-78.82,uc,0,0,0,
Cota cota(bo),3917,-16.41,-68.5,soon,11.83,11.88,11.89,
Chiapas,522,16.75,-93.12,soon,0,0,0,
La Serena, 28, -29.90, -71.25,soon,0,0,0,
